code,20100301-20100930,20110201-20110630,20130801-20130930,20150601-20160331,20160801-20171231,total_return_rate,rank,20100301-20100930_rank,20110201-20110630_rank,20130801-20130930_rank,20150601-20160331_rank,20160801-20171231_rank
贸易Ⅱ(申万),2.548400061284184,10.252133258224516,16.110522126761314,-39.27741342561915,-15.635007512516784,0,235,40,9,33,73,80
医疗服务Ⅱ(申万),3.545170712055601,-12.675697082790736,19.809209575406577,-36.76093344109768,3.576693555399624,0,235,38,84,20,55,38
中药Ⅱ(申万),23.514019410197214,-4.211228437439063,2.217238171185532,-34.222208623282164,-3.6355421354815176,0,240,13,49,88,39,51
金属制品Ⅱ(申万),1.7686791992106876,-10.688342654808435,14.522540537489604,-37.34239096648035,11.897754243460245,0,241,41,80,36,61,23
铁路运输Ⅱ(申万),-11.28533267915066,-5.2687389100574675,19.373283255787864,-44.38831281605965,46.43097044412832,0,244,72,57,24,87,4
黄金Ⅱ(申万),18.791352812331354,0.1360637129976583,6.949002151870197,-34.67684454289761,-14.2296671332105,0,244,17,31,75,43,78
种植业(申万),12.801537984327016,-9.817980751987577,33.40408827891017,-40.3297219863585,-8.678140791514489,0,244,24,75,5,78,62
农业综合Ⅱ(申万),12.948899830315176,1.4768634371429057,12.25596601281156,-37.86769274567264,-24.30239336453424,0,248,23,21,46,67,91
其他采掘Ⅱ(申万),33.76312757751325,-0.5969111585638398,4.689285603978143,-37.85877118294927,-6.7862677029153495,0,249,7,35,84,66,57
船舶制造Ⅱ(申万),-1.5677573869730788,-0.5130030026909926,30.554365473076572,-55.795611863909066,-8.655989607982006,0,250,52,34,7,96,61
专用设备(申万),8.869740949648452,-2.208959998781268,11.010407150142361,-44.756309889356366,-2.0335901612971163,0,252,27,41,50,88,46
农产品加工(申万),-5.0927243407323015,-10.31214353192974,12.514751149145464,-21.133808059646142,-8.480018901764508,0,253,63,77,44,9,60
高速公路Ⅱ(申万),-23.824946268435486,-8.900798709576707,19.56189908063724,-33.13009606733096,6.781878693678277,0,255,94,72,22,37,30
玻璃制造Ⅱ(申万),1.2435118656361157,-5.032643711951391,3.9871801552973096,-31.51055283483441,1.0927057929243311,0,258,43,54,87,32,42
包装印刷Ⅱ(申万),-9.636834158242713,2.8706866631350136,17.31872548701825,-36.34732084545252,-26.657925354115502,0,259,70,16,29,50,94
航空运输Ⅱ(申万),1.4010455164202409,-13.89671624336748,10.395687293171552,-34.85086220689869,10.465351317461913,0,260,42,91,57,44,26
钢铁Ⅱ(申万),-19.188128232449827,5.246087280963008,7.530620918820753,-45.813590887435595,40.043628081076214,0,264,83,14,69,92,6
电气自动化设备(申万),40.20229739233561,-9.413635796848796,12.288341089430732,-40.382330797400506,-8.679589146532429,0,266,5,74,45,79,63
环保工程及服务Ⅱ(申万),0.6920676940531445,0.42570419079399613,-2.47250672445144,-36.908461730766696,2.1199096062189504,0,267,45,29,95,57,41
公交Ⅱ(申万),-24.754644565159897,-4.9860502928514725,28.63151362625618,-24.760135599100817,-32.05982791595253,0,271,95,52,10,17,97
汽车服务Ⅱ(申万),-13.849360841175914,-2.0124127104860667,23.601935730580074,-37.96479515460193,-12.560690209228394,0,276,78,40,16,68,74
通信设备(申万),-10.239074257667113,-6.068705428997734,13.164522874160433,-36.74748576861015,-4.52885976845554,0,276,71,58,41,53,53
高低压设备(申万),-3.380752020303201,-10.23744620427911,16.06842225593914,-34.62130474499284,-10.958072732515431,0,279,58,76,34,41,70
航空装备Ⅱ(申万),15.865836778469355,10.443017872084015,7.044750939579814,-45.60807644605215,-24.20825278497034,0,281,20,7,74,90,90
航天装备Ⅱ(申万),22.308675476277195,-4.050801552142413,10.778982763321322,-39.903293314757036,-24.379444367963586,0,284,14,48,54,76,92
石油化工(申万),-23.061612440757276,0.5169889243476611,5.9945278572958625,-37.16048985092893,6.849456228796091,0,286,91,27,79,60,29
电源设备(申万),4.245342991740153,-17.16039120491677,17.91202306103459,-40.096338232686,-3.7658407347775698,0,287,37,93,28,77,52
电力(申万),-12.976802435989788,1.1817435040136104,5.062997083977772,-36.75812211479835,-5.912745792081831,0,292,77,23,83,54,55
互联网传媒(申万),-12.268560309722965,-7.767355537720711,35.195530726256976,-36.44453201719959,-31.03913858947416,0,295,75,68,4,52,96
仪器仪表Ⅱ(申万),0.3521242946908032,-8.834721646734968,8.929527549017124,-33.976234715562036,-23.500362854982228,0,308,48,71,64,38,87
视听器材(申万),-22.38546279190249,19.121110697905053,10.625273283777867,-41.71429211352462,-14.918557151298714,0,309,90,2,55,83,79
装修装饰Ⅱ(申万),101.3635053413422,-13.164313606222391,-0.03250690068634654,-37.0997636661568,-10.846017333496096,0,310,1,89,92,59,69
地面兵装Ⅱ(申万),28.400318661065448,-11.809859196125116,5.499412049526176,-49.57003539192997,-1.5697007358568935,0,313,9,83,81,95,45
通用机械(申万),1.0739440636478914,-8.432911616290205,6.709565468874267,-35.968465828620545,-14.127296734776086,0,315,44,69,77,48,77
文化传媒(申万),-12.23357930340735,-6.6346932965420615,43.42255468989799,-45.70144257229272,-27.842130570728568,0,325,74,63,2,91,95
林业Ⅱ(申万),37.138077467507394,-16.461814938216545,12.658974483282435,-46.94715726376686,-26.057175669578772,0,327,6,92,43,93,93
计算机应用(申万),0.6902888802382767,-9.354129337025574,16.67383961902269,-45.47560202730803,-23.71355743189423,0,327,46,73,31,89,88
商业物业经营(申万),-3.6286011059175727,-10.330936797440273,19.655764195968906,-43.943814196822615,-20.380686377384105,0,329,59,78,21,86,85
石油开采Ⅱ(申万),-19.243165147810625,-5.069457249984631,-2.976736065645336,-36.248760783037156,-2.796901893287429,0,332,84,55,96,49,48
航运Ⅱ(申万),-23.38593412103928,-17.221204200656704,28.698292220113863,-43.22336516792262,-5.498033103243527,0,334,92,94,9,85,54
燃气Ⅱ(申万),-4.564069300211737,-8.780183068820977,6.597021615698773,-37.55988941233953,-8.906485206475523,0,336,61,70,78,63,64
券商Ⅱ(申万),-37.200446329194385,0.16409117289697406,8.510268228746076,-42.55370927625265,-12.258265062441895,0,347,97,30,65,84,71
运输设备Ⅱ(申万),0.6338065734195597,-23.66717582982779,-1.3356832677559494,-64.31074225365887,23.022455319001843,0,347,47,96,94,97,13
通信运营Ⅱ(申万),-23.4530203676651,-13.0451375498136,7.584489193709798,-48.512438521133156,33.4324636437032,0,350,93,88,68,94,7
水务Ⅱ(申万),-14.447192352717707,-13.81250459667732,-0.5311500094108856,-38.95372945874042,4.3466203572822835,0,369,79,90,93,71,36
其他交运设备Ⅱ(申万),-7.288246881155624,-12.965633261235288,4.352624271694894,-39.4634392065679,-8.380801195256327,0,372,67,87,85,74,59
采掘服务Ⅱ(申万),-19.77306410035147,-27.273179060661892,8.33213134493096,-41.400828123987964,-22.864228515943843,0,416,85,97,66,82,86
